part,benchmark,model,metric,method,score,n
part1,cseo_bench,qwen,objective,evidence_structure_rewriting.key_point_enumeration,0.19550360569321273,197
part1,cseo_bench,qwen,subjective,evidence_structure_rewriting.key_point_enumeration,3.574205608505356,197
part1,cseo_bench,llama,objective,evidence_structure_rewriting.key_point_enumeration,0.3343682407542156,197
part1,cseo_bench,llama,subjective,evidence_structure_rewriting.key_point_enumeration,4.299723569753415,197
part1,cseo_bench,mistral,objective,evidence_structure_rewriting.key_point_enumeration,0.3937684670728783,197
part1,cseo_bench,mistral,subjective,evidence_structure_rewriting.key_point_enumeration,3.952408437495577,197
part1,geo_bench,qwen,objective,evidence_structure_rewriting.key_point_enumeration,0.2856292296739116,200
part1,geo_bench,qwen,subjective,evidence_structure_rewriting.key_point_enumeration,3.841054775961006,200
part1,geo_bench,llama,objective,evidence_structure_rewriting.key_point_enumeration,0.33145670350734624,200
part1,geo_bench,llama,subjective,evidence_structure_rewriting.key_point_enumeration,3.660452240149917,200
part1,geo_bench,mistral,objective,evidence_structure_rewriting.key_point_enumeration,0.6558145258043708,200
part1,geo_bench,mistral,subjective,evidence_structure_rewriting.key_point_enumeration,5.108657733526687,200
part2,cseo_bench,qwen,objective,cseo.llm_guidance,0.31773637960203627,200
part2,cseo_bench,qwen,subjective,cseo.llm_guidance,3.9680011656127294,200
part2,cseo_bench,llama,objective,cseo.llm_guidance,0.5361294279247106,200
part2,cseo_bench,llama,subjective,cseo.llm_guidance,5.0704483692363365,200
part2,cseo_bench,mistral,objective,cseo.llm_guidance,0.37639791697352387,200
part2,cseo_bench,mistral,subjective,cseo.llm_guidance,2.6360334518278585,200
part2,geo_bench,qwen,objective,cseo.llm_guidance,0.4884923520855494,200
part2,geo_bench,qwen,subjective,cseo.llm_guidance,4.272828437373671,200
part2,geo_bench,llama,objective,cseo.llm_guidance,0.5512799687769872,200
part2,geo_bench,llama,subjective,cseo.llm_guidance,5.093514513026227,200
part2,geo_bench,mistral,objective,cseo.llm_guidance,0.5604040406808799,200
part2,geo_bench,mistral,subjective,cseo.llm_guidance,4.188691277533793,200
