part,benchmark,metric,method_a,method_b,qwen,llama,mistral
part1,cseo_bench,objective,evidence_structure_rewriting.conclusion_first,evidence_structure_rewriting.hierarchical_framing,0.007585774249909173,-0.020993627384131484,-0.06234259606086433
part1,cseo_bench,subjective,evidence_structure_rewriting.conclusion_first,evidence_structure_rewriting.hierarchical_framing,0.26868315311110313,-0.7359443299390025,-0.7427756863411714
part1,cseo_bench,objective,evidence_structure_rewriting.conclusion_first,readability_technicality.general_audience_register,0.06555295195819465,-0.032164854015415655,0.042993745526989896
part1,cseo_bench,objective,evidence_structure_rewriting.conclusion_first,readability_technicality.mixed_audience_register,0.03528079992876057,-0.03502345357200836,0.10417265716355668
part1,cseo_bench,objective,evidence_structure_rewriting.conclusion_first,readability_technicality.specialist_register,0.05989743705511416,-0.030712394152882128,0.11806018184407809
part1,cseo_bench,subjective,evidence_structure_rewriting.conclusion_first,readability_technicality.specialist_register,0.9219100918503296,-0.04818858176185348,1.1105599744379817
part1,cseo_bench,objective,evidence_structure_rewriting.hierarchical_framing,latent_intent_coverage.explicit_purpose,-0.0406154696902088,-0.10848563443961673,0.04231984697769048
part1,cseo_bench,subjective,evidence_structure_rewriting.hierarchical_framing,latent_intent_coverage.explicit_purpose,-0.6175973033334805,-0.2731923767169815,0.5030587132935738
part1,cseo_bench,objective,evidence_structure_rewriting.hierarchical_framing,readability_technicality.general_audience_register,0.05796717770828547,-0.011171226631284172,0.10533634158785422
part1,cseo_bench,objective,evidence_structure_rewriting.hierarchical_framing,readability_technicality.mixed_audience_register,0.027695025678851397,-0.014029826187876878,0.166515253224421
part1,cseo_bench,objective,evidence_structure_rewriting.hierarchical_framing,readability_technicality.specialist_register,0.05231166280520499,-0.009718766768750641,0.1804027779049424
part1,cseo_bench,objective,latent_intent_coverage.explicit_purpose,latent_intent_coverage.multiple_latent_intents,-0.017116659407373863,0.022889740419212948,-0.11007294102119061
part1,cseo_bench,subjective,latent_intent_coverage.explicit_purpose,latent_intent_coverage.multiple_latent_intents,0.20154963983198515,-0.8399466656680774,-1.0632644130257023
part1,cseo_bench,objective,latent_intent_coverage.explicit_purpose,latent_intent_coverage.single_latent_intent,0.024687229193355746,0.05652883601482267,-0.06172255482484068
