part,model,benchmark,method,n,objective,subjective
part1,llama,cseo_bench,evidence_structure_rewriting.conclusion_first,197,-0.010263885900775033,1.5767251765888786
part1,llama,cseo_bench,evidence_structure_rewriting.hierarchical_framing,197,0.010729741483356451,2.312669506527881
part1,llama,cseo_bench,evidence_structure_rewriting.key_point_enumeration,197,0.3343682407542156,4.299723569753415
part1,llama,cseo_bench,latent_intent_coverage.explicit_purpose,197,0.11921537592297318,2.5858618832448625
part1,llama,cseo_bench,latent_intent_coverage.multiple_latent_intents,197,0.09632563550376023,3.42580854891294
part1,llama,cseo_bench,latent_intent_coverage.single_latent_intent,197,0.06268653990815051,2.4047807796447054
part1,llama,cseo_bench,neutral_rewrite_control.neutral_rewrite_control,197,-0.009623177325206555,0.16467110456858525
part1,llama,cseo_bench,original.no_rewrite,197,0.0,0.0
part1,llama,cseo_bench,readability_technicality.general_audience_register,197,0.021900968114640623,1.4619816234578864
part1,llama,cseo_bench,readability_technicality.mixed_audience_register,197,0.02475956767123333,1.2800588107520494
part1,llama,cseo_bench,readability_technicality.specialist_register,197,0.020448508252107093,1.624913758350732
part1,llama,geo_bench,evidence_structure_rewriting.conclusion_first,200,0.07996329451498838,1.9224910192258136
part1,llama,geo_bench,evidence_structure_rewriting.hierarchical_framing,200,0.11306073533145923,2.2817930090902188
part1,llama,geo_bench,evidence_structure_rewriting.key_point_enumeration,200,0.33145670350734624,3.660452240149917
part1,llama,geo_bench,latent_intent_coverage.explicit_purpose,200,0.16715462018074997,2.4691939618434464
part1,llama,geo_bench,latent_intent_coverage.multiple_latent_intents,200,0.09874001310462165,2.1688956788335947
part1,llama,geo_bench,latent_intent_coverage.single_latent_intent,200,0.23127090347372323,3.2772433667865557
part1,llama,geo_bench,neutral_rewrite_control.neutral_rewrite_control,200,0.10660713433217485,1.3613226287985611
part1,llama,geo_bench,original.no_rewrite,200,0.0,0.0
part1,llama,geo_bench,readability_technicality.general_audience_register,200,0.05153237856153769,1.6717544690360109
part1,llama,geo_bench,readability_technicality.mixed_audience_register,200,0.10068589301271276,1.9251576173624643
part1,llama,geo_bench,readability_technicality.specialist_register,200,0.05611360305073791,1.6554840564686557
part1,mistral,cseo_bench,evidence_structure_rewriting.conclusion_first,197,0.11938558002904485,1.8525648529088627
part1,mistral,cseo_bench,evidence_structure_rewriting.hierarchical_framing,197,0.18172817608990918,2.595340539250034
part1,mistral,cseo_bench,evidence_structure_rewriting.key_point_enumeration,197,0.3937684670728783,3.952408437495577
part1,mistral,cseo_bench,latent_intent_coverage.explicit_purpose,197,0.1394083291122187,2.0922818259564604
part1,mistral,cseo_bench,latent_intent_coverage.multiple_latent_intents,197,0.24948127013340932,3.1555462389821627
part1,mistral,cseo_bench,latent_intent_coverage.single_latent_intent,197,0.20113088393705938,3.0849946935033516
part1,mistral,cseo_bench,neutral_rewrite_control.neutral_rewrite_control,197,0.013463141761558385,0.28220980824927966
part1,mistral,cseo_bench,original.no_rewrite,197,0.0,0.0
part1,mistral,cseo_bench,readability_technicality.general_audience_register,197,0.07639183450205496,1.4555333136810051
part1,mistral,cseo_bench,readability_technicality.mixed_audience_register,197,0.015212922865488174,0.8364762824711279
part1,mistral,cseo_bench,readability_technicality.specialist_register,197,0.0013253981849667745,0.7420048784708811
part1,mistral,geo_bench,evidence_structure_rewriting.conclusion_first,200,0.16465209231631298,2.329670531033983
part1,mistral,geo_bench,evidence_structure_rewriting.hierarchical_framing,200,0.3397299515465823,3.653542082658946
part1,mistral,geo_bench,evidence_structure_rewriting.key_point_enumeration,200,0.6558145258043708,5.108657733526687
part1,mistral,geo_bench,latent_intent_coverage.explicit_purpose,200,0.15414508175038222,2.7504106325779065
part1,mistral,geo_bench,latent_intent_coverage.multiple_latent_intents,200,0.3388968863858521,3.203098228012522
part1,mistral,geo_bench,latent_intent_coverage.single_latent_intent,200,0.29721397671488625,3.2591212967599943
part1,mistral,geo_bench,neutral_rewrite_control.neutral_rewrite_control,200,0.08651718452341407,1.9281258508851145
part1,mistral,geo_bench,original.no_rewrite,200,0.0,0.0
part1,mistral,geo_bench,readability_technicality.general_audience_register,200,0.2168088712136003,2.684865581172289
part1,mistral,geo_bench,readability_technicality.mixed_audience_register,200,0.2146738603524271,2.8862398568491847
part1,mistral,geo_bench,readability_technicality.specialist_register,200,0.16855787161104366,2.81416618728983
part1,qwen,cseo_bench,evidence_structure_rewriting.conclusion_first,197,0.05239173970404129,2.3432908150871117
part1,qwen,cseo_bench,evidence_structure_rewriting.hierarchical_framing,197,0.04480596545413212,2.0746076619760085
part1,qwen,cseo_bench,evidence_structure_rewriting.key_point_enumeration,197,0.19550360569321273,3.574205608505356
part1,qwen,cseo_bench,latent_intent_coverage.explicit_purpose,197,0.08542143514434092,2.692204965309489
part1,qwen,cseo_bench,latent_intent_coverage.multiple_latent_intents,197,0.10253809455171478,2.490655325477504
part1,qwen,cseo_bench,latent_intent_coverage.single_latent_intent,197,0.06073420595098517,2.7024235500430582
part1,qwen,cseo_bench,neutral_rewrite_control.neutral_rewrite_control,197,-0.0066137384057985285,0.33139004688026463
part1,qwen,cseo_bench,original.no_rewrite,197,0.0,0.0
part1,qwen,cseo_bench,readability_technicality.general_audience_register,197,-0.013161212254153351,1.368957374009523
part1,qwen,cseo_bench,readability_technicality.mixed_audience_register,197,0.01711093977528072,1.6909471790581654
part1,qwen,cseo_bench,readability_technicality.specialist_register,197,-0.0075056973510728734,1.421380723236782
part1,qwen,geo_bench,evidence_structure_rewriting.conclusion_first,200,0.07938013611341437,2.5574047897517875
part1,qwen,geo_bench,evidence_structure_rewriting.hierarchical_framing,200,0.019124474291510596,1.7544818616961073
part1,qwen,geo_bench,evidence_structure_rewriting.key_point_enumeration,200,0.2856292296739116,3.841054775961006
part1,qwen,geo_bench,latent_intent_coverage.explicit_purpose,200,-0.01022402427154544,1.9652680125108677
part1,qwen,geo_bench,latent_intent_coverage.multiple_latent_intents,200,-0.07526865472883268,1.723623515107524
part1,qwen,geo_bench,latent_intent_coverage.single_latent_intent,200,-0.021720316463483123,1.5847006353595645
part1,qwen,geo_bench,neutral_rewrite_control.neutral_rewrite_control,200,-0.002969315592359309,0.5484806101892553
part1,qwen,geo_bench,original.no_rewrite,200,0.0,0.0
part1,qwen,geo_bench,readability_technicality.general_audience_register,200,0.028488097640790508,1.481978288601525
part1,qwen,geo_bench,readability_technicality.mixed_audience_register,200,0.014277921055908211,1.1553051744230687
part1,qwen,geo_bench,readability_technicality.specialist_register,200,0.028461267129118065,1.4177155916642483
part2,llama,cseo_bench,cseo.content_improvement,200,0.2663160785219322,4.079103634387651
part2,llama,cseo_bench,cseo.llm_guidance,200,0.5361294279247106,5.0704483692363365
part2,llama,cseo_bench,geo.cite_sources,200,0.07660258264242803,2.4021753345833
part2,llama,cseo_bench,geo.quotation_addition,200,0.18045334845313754,2.8923568580867105
part2,llama,cseo_bench,geo.statistics_addition,200,0.05771724000795573,1.9924938391720814
part2,llama,cseo_bench,if_geo.full_pipeline,197,0.5901476759773445,4.728883421731646
part2,llama,cseo_bench,original.no_rewrite,200,0.0,0.0
